BARDID,Year,USCGadded,NumberDeaths,NumberInjured,MeetsInjuryThreshold,MeetsDamageThreshold,NumberVesselsInvolved,NumberVesselsLost,TotalDamage,Date,Time,State,Location,NameOfBodyOfWater,NearestCityTown,County,Clear,Cloudy,Fog,Rain,Snow,Hazy,WaterConditions,StrongCurrent,HazardousWaters,CongestedWaters,Wind,AirTemperature,WaterTemperature,DayNight,Visibility,DayofWeek,AccidentCause1,AccidentCause2,AccidentCause3,OtherAccidentCause,MachineryFailure,EquipmentFailure,AccidentEvent1,AccidentEvent2,AccidentEvent3,OtherAccidentEvent,RedactedNarrative,StateCaseID,Latitude,Longitude,CoordinatesConfidence
FL-2017-0322,2017,NA,0,1,-1,0,1,0,0,6/24/2017 0:00:00,12/30/1899 18:15:00,FL,TAVERNIER CREEK,BAY SIDE OF TAVERNIER CREEK,TAVERNIER,MONROE,-1,0,0,0,0,0,Choppy,NA,NA,NA,Strong,84,78,-1,Good,Saturday,Other,NA,NA,passenger/skier behavior,NA,NA,Fall in vessel,NA,NA,NA,"At approximately 1920 hours, the reporting and injured party arrived at Tavernier Marina. Once the vessel was docked, I made contact with the individuals onboard. Victim was sitting on the stern with a towel pressed to the left side of his head. I asked the occupants onboard what had happened. Subject1 advised that the vessel was moving fast when (Victim) stood up to get water and slipped and fell and hit his head. She stated Victim lost consciousness for approximately thirty seconds. 

At approximately 1930 hours Victim arrived at Mariner's Emergency Room. Victim was admitted for his injuries. Subject1 was also there, and was able to provide me with a sworn-written statement.

Victim sustained approximately a two inch laceration to the back of his head on his left side which was treated with stitches. Victim also sustained a concussion. ; 
",FWSB17OFF007868,NA,NA,NA
MI-2017-0093,2017,NA,0,0,0,-1,1,0,2000,8/15/2017 0:00:00,12/30/1899 20:00:00,MI,Muskegon entrance to Lake Michigan,Lake Michigan,Muskegon,Muskegon County,NA,NA,NA,NA,NA,NA,Unknown,NA,N,NA,Unknown,NA,NA,-1,Unknown,Tuesday,Unknown,NA,NA,NA,NA,NA,Capsizing,Person ejected from vessel,NA,NA,"A call came into Muskegon County 911 dispatch relaying a report of a capsized 19' Lund with 2 persons on top of the hull and not wearing life jackets.  On scene, P/C Venture reported observing a flashing light and arrived on scene with the capsized vessel.  Good Samaritans picked up the 2 victims.  P/C Venture reported that all persons were account for.  No injuries were reported.  Victims refused treatment.  Victims were not wearing life jackets. ",1094344,NA,NA,NA
NH-2017-0032,2017,NA,0,0,0,-1,1,0,10000,8/9/2017 0:00:00,12/30/1899 16:20:00,NH,Near Pistol Island,Lake Winnipesaukee,Moultonborough,Carroll,-1,0,0,0,0,0,Calm,N,N,N,Light,80,73,-1,Good,Wednesday,Alcohol use,Navigation rules violation,NA,NA,NA,NA,Grounding,Flooding/swamping,NA,NA,"The Marine Patrol Officer found the operator and one of the occupants at the operator's residence trying to stop the vessel from sinking. The officer was told that the vessel was towed to the dock. There was a sheen in the water so the Department of Environmental Services was called. The operator was trying to plug up the hole that the bilge water was pumping out of. Both person's seemed impaired and smelled of alcohol. Breathalyzer tests were given to both, the operator was arrested for BWI and Unlawful Possession and the passenger was arrested for Unlawful Possession. The vessel was removed from the water. Court case with pending charges.

Prior to the vessel taking on water, it had become grounded.",2017-53026-AC,NA,NA,NA
OH-2017-0021,2017,NA,1,0,0,0,1,0,0,5/27/2017 0:00:00,12/30/1899 2:30:00,OH,North and West of Safety Island approx. 200 yards from Safety Island shoreline,Grand Lake St Marys,Montezuma,Mercer,0,0,-1,0,0,-1,Choppy,N,NA,N,Light,63,68,0,Fair,Saturday,Alcohol use,NA,NA,NA,NA,NA,Person departed vessel,NA,NA,NA,"Vessel #1 had left Duck Foot Bar heading north around Safety Island.  The operator changed direction heading south toward Kozy Kamp ground once he passed the northern tip of Safety Island. Occupant #4 voluntarily jumped from the moving vessel, treaded water for a short time, bobbed under water two times, then disappeared under the water the third time. Occupant #4 was recovered on 5/30/17. Cause of death was determined to be drowning and manner of death was accidental according to Mercer County Coroner.",SWUNA170164,40.52,-84.53,C
TX-2017-0252,2017,NA,0,1,-1,-1,1,1,10500,7/1/2017 0:00:00,12/30/1899 14:26:00,TX,Meadow Lake,0488 MEADOW,Seguin,094 GUADALUPE,-1,0,0,0,0,0,Calm,N,N,N,Light,91,85,-1,Good,Saturday,Operator inexperience,Excessive speed,Navigation rules violation,NA,NA,NA,Collision with fixed object,Person ejected from vessel,NA,NA,"Navigation of Vessel 1 

On July 1, 2017, at approximately 2:26 P.M., vessel 1, bearing TX 8493 BK, was navigating north on Meadow Lake in Guadalupe County. Operator1 was operating vessel 1 and was wearing a US Coast guard approved life jacket with a safety lanyard. Operator1 was in full care, custody, and control of the vessel.  Operator1 was the only person on board vessel 1. Operator1 did not have any prior experience operating vessel 1 nor had she completed a boater safety education course. 

Operator1 began her course of travel. Operator1 stated she was not advised of the boater safety education course requirement prior to operating the vessel. Operator1 was not aware of the required safety equipment for PWCs nor the prohibition of operating a PWC within 50 feet in excess of headway speed. 


Impact with dock of vessel 1

As vessel 1 was navigating north, the boat accident witnesses, stated vessel 1 was navigating at a high rate of speed. The witnesses heard the crash when Vessel 1 collided with the dock. While navigating vessel 1, Operator1 attempted to turn the vessel port side but was unable to control the vessel's speed. The vessel turned 90 degrees and collided with the dock. When the vessel collided with the dock Operator1 was thrown into the water and the vessel went underneath the dock. The collision caused parts of the vessel to be broken off. 

Subject1 inside her house when she heard vessel 1 crash into her dock. They arrived at the vessel accident at the same time and saw Operator1 still inside the water. They stated the vessel had impacted the dock with such force that the vessel was lodged under the dock. Subject2 stated he had to step on the vessel's stern in order to recover it from underneath the dock. The dock sustained damage to the wooden boards that support the dock. Vessel 1 sustained significant damage to the bow, hull, starboard side, handlebars, and throttle. Operator1 sustained significant lacerations to her leg and hand, as well as bruising to her rib cage and visceral area.  The vessel was recovered by the guests and residents. They took the vessel out of the water and put it on a trailer. 

First responders arrive at the scene
4Operator1 declined an ambulance transport to the hospital but later she checked herself into the hospital. Operator1 received stitches for the lacerations to her hand and leg. The Seguin Police Department case number is 34667. Upon examining the vessel, it was impossible to determine whether mechanical failure was a factor, due to the damage sustained to the steering handle bars and throttle lever.

The next day, Operator1 was interviewed by Warden. While being interviewed by Warden, Operator1 stated she was navigating only at approximately 5 miles per hour. In her statement, Operator1 stated that when she attempted to turn the steering handlebars locked and she was unable to operate the vessel. Operator1 was issued citations for violating the boater safety requirements and a PWC operated within 50 feet in excess of headway speed. 


The contributing factors to the boat accident include:  
1.	Operator inexperience 
2.	Excessive speed 
3.	Fail to control speed 
4.	No boater education
5.	Operating a PWC within 50 feet in excess of headway speed.
",NA,NA,NA,NA
NY-2017-0024,2017,NA,0,0,0,-1,1,0,7000,6/9/2017 0:00:00,12/30/1899 11:50:00,NY,NA,HUDSON RIVER,Coxsackie,GREENE,-1,0,0,0,0,0,Calm,NA,NA,NA,Light,74,64,-1,Good,Friday,Other,NA,NA,unseen water hazard,NA,NA,Collision with submerged object,NA,NA,NA,Vessel struck submerged object just north of boat launch.  Boat was in approximately 20 feet of water.  No injuries occurred.  Outdrive on boat was severely damaged.,2017025,NA,NA,NA
MD-2017-0069,2017,NA,0,1,-1,0,1,0,0,7/15/2017 0:00:00,12/30/1899 14:17:00,MD,A408 ISLE OF WIGHT - HARBOR TO RT 90 BRIDGE,ISLE OF WIGHT,OCEAN CITY,WO - Worcester,-1,0,0,0,0,0,Choppy,N,N,Y,Moderate,90,74,-1,Good,Saturday,Alcohol use,"People on gunwale, bow, or transom",NA,NA,NA,NA,Falls overboard,Person struck by propeller,NA,NA,"On July 15th, 2017 while on routine boat patrol myself (OFC.) and CPL at 1417hrs were dispatched to a report of a boat accident.  We were informed that a subject had fell off of a pontoon boat and had received lacerations to their foot and needed medical attention.  The beige Sweetwater pontoon boat was to meet Ocean City EMS at 49th street, just south of Seacrets.
      
      On arrival, we saw the beige Sweetwater pontoon boat tied up to the dock just south of 49th street with Ocean City Police Department (OCPD) on scene.  OFC. from OCPD informed us that Ocean City EMS had transported the subject to Peninsula Regional Medical Center Located in Salisbury,MD.   Victim had received deep lacerations across her lower back, buttocks, legs and right foot.  After receiving information I took statements.  I spoke with the operator of the vessel later and CPL spoke with the other passengers on the vessel.

      While speaking with Operator I smelled an odor of alcohol emanating from her person.  She advised she had only had one Bloody Mary around 1100hrs but she was holding clothes that had alcohol spilled on them.  At this point, I asked Operator to submit to Standardized Field Sobriety Tests (SFST's) to which she said she would not mind.  While talking to Operator, she stated that she was allergic to the sun and that her hands and feet were swelling up and that the dock was too hot for her to stay on.  I advised here we could go in the shade of the carport underneath the condominium that was nearby to which she seemed content with.  I also allowed her to put her sandals on due to the temperature of the pavement.  After she was situated, I ran her through SFST's which showed negative results. 

      At this point I received all of Operator' information, the rental vessel information and any additional information I needed for an accident report.  I also asked Operator what happened that would make Victim fall off of the vessel.  She advised me that Victim was highly intoxicated and was dancing on the front part of the vessel with another occupant of the vessel, but not outside of the front gate.  

She said Victim fell into the front gate and rolled over it head first, falling into the water and between the front two pontoons.  She then told me they didn't see Victim surface for some time and then when she finally came up she was screaming something. She said that Occupant1 had jumped in and grabbed Victim and eventually Operator grabbed a life jacket and jumped in to help her.  The two girls swam Victim back to the vessel and helped her get back up the ladder.  Operator said they laid her down on the seat and occupant1, who has training in the medical field, wrapped her foot and elevated it.  Another occupant of the vessel called 911 to advise them that Victim needed medical attention.

      From this point on, Operator headed to the nearest open dock she could see.  They arrived at the dock just south of Seacrets and Ocean City Police and Fire/EMS were on scene.  Victim was transported to Peninsula Regional Medical Center and eventually flown to University of Maryland Shock Trauma Center located in Baltimore,MD to see a specialist.  

      I spoke with Operator on July, 17th 2017 and she advised that Victim was still being held at Shock Trauma in Baltimore but has regained slight feeling in her toes after the surgery.

 All events occurred in Worcester County,MD.
",NRP-17-00973,NA,NA,NA
NE-2017-0008,2017,NA,0,0,0,-1,2,0,2500,6/10/2017 0:00:00,12/30/1899 16:00:00,NE,NA,Calamus SRA,Burwell,Loup,-1,0,0,0,0,0,Rough,N,N,NA,Moderate,90,73,-1,Good,Saturday,Excessive speed,Improper lookout,NA,NA,NA,NA,Collision with recreational vessel,NA,NA,NA,A 32 year old male PWC operator was making circles when a 39 year old female PWC operator got too close and they crashed into each other causing $2500 damage,1733008,NA,NA,NA
FL-2017-0739,2017,NA,0,0,0,-1,2,0,3700,11/17/2017 0:00:00,12/30/1899 21:00:00,FL,ROCK HARBOR,ATLANTIC OCEAN (ROCK HARBOR),KEY LARGO,MONROE,-1,0,0,0,0,0,Choppy,NA,NA,NA,Moderate,78,72,0,Poor,Friday,Improper lookout,NA,NA,NA,NA,NA,Collision with recreational vessel,NA,NA,NA,"Vessel 1 (V1) was inbound to shore from a recreational night fishing trip.  While in the visinity of Rock Harbour, V1 collided with vessel 2 (V2).  V2 was moored in a well known anchorage area in Key Largo. V2 was pointing east northeast, accoording to the prevailing winds in the area that night.  V1 struck V2 on its starboard side near the bow,  causing extensive damage to the fiberglass hull. V2 anchor light was on an operational.  Operator of V1 failed to see the single mast anchor light as it blended with the presence of background lights on the shore line, a factor on this collision.",FWSB17OFF014510,NA,NA,NA
FL-2017-0595,2017,NA,0,2,-1,-1,1,0,40000,10/13/2017 0:00:00,12/30/1899 23:00:00,FL,CHANNEL MARKER 41 APPROXIMATELY 1 MILE SOUTH OF LANTANA ROAD BRIDGE ON ICW,INTRACOASTAL WATERWAY,HYPOLUXO,PALM BEACH,0,-1,0,0,0,0,Calm,NA,NA,NA,Moderate,80,80,0,Poor,Friday,Excessive speed,NA,NA,NA,NA,NA,Collision with fixed object,Fall in vessel,NA,NA,"Vessel 1 (V1) struck a channel marker and a rock seawall while traveling on plane at night. V1 sustained severe damage to its starboard side from contact with the channel marker and to its port side from contact with the rock seawall. After the accident, V1 was driven under its own power to a nearby marina and was left in the water tied to a dock. The accident was not reported until 10 days after it occurred.

Victim2 sustained three broken ribs on her right side, punctured her right lung, contusions to her right upper arm and a laceration on the left side of her nose. Operator sustained lacerations on the top and right side of his head, contusions on both sides of his rib cage, contusions on the right side of his jaw and stiffness in his neck.  

The operator of V1 was in violation of navigational rule 6 (safe speed) as the speed of his vessel was the main contributing factor to an inability to change course or slow down in time to avoid the accident. The operator of V1 was also in violation of Florida Statute 327.30 (2) for not giving notice to an appropriate law enforcement agency by quickest means available when involved in an accident requiring medical treatment beyond immediate first aid or damage to any vessel in an apparent aggregate amount of at least $2,000.

",FWSA17OFF009454,NA,NA,NA
