RECORDID,DAM_NAME,OTHER_DAM_NAME,DAM_FORMER_NAME,STATEID,NIDID,LONGITUDE,LATITUDE,SECTION,COUNTY,RIVER,CITY,DISTANCE,OWNER_NAME,OWNER_TYPE,DAM_DESIGNER,PRIVATE_DAM,DAM_TYPE,CORE,FOUNDATION,PURPOSES,YEAR_COMPLETED,YEAR_MODIFIED,DAM_LENGTH,DAM_HEIGHT,STRUCTURAL_HEIGHT,HYDRAULIC_HEIGHT,NID_HEIGHT,MAX_DISCHARGE,MAX_STORAGE,NORMAL_STORAGE,NID_STORAGE,SURFACE_AREA,DRAINAGE_AREA,HAZARD,EAP,INSPECTION_DATE,INSPECTION_FREQUENCY,STATE_REG_DAM,STATE_REG_AGENCY,SPILLWAY_TYPE,SPILLWAY_WIDTH,OUTLET_GATES,VOLUME,NUMBER_OF_LOCKS,LENGTH_OF_LOCKS,WIDTH_OF_LOCKS,FED_FUNDING,FED_DESIGN,FED_CONSTRUCTION,FED_REGULATORY,FED_INSPECTION,FED_OPERATION,FED_OWNER,FED_OTHER,SOURCE_AGENCY,STATE,SUBMIT_DATE,URL_ADDRESS,CONG_NAME,PARTY,CONG_DIST,OTHERSTRUCTUREID,NUMSEPARATESTRUCTURES,PERMITTINGAUTHORITY,INSPECTIONAUTHORITY,ENFORCEMENTAUTHORITY,JURISDICTIONALDAM,EAP_LAST_REV_DATE
84549,SOUTH RIVER DAM #6,SENGERS MOUNTAIN LAKE (STONE CREEK),0,NA,VA015009,-79.1221,37.9911,NA,AUGUSTA,COLD SPRINGS RUN,NA,NA,HEADWATERS SOIL AND WATER CONSERVATION DISTRICT,L,USDA NRCS,N,RE,HEK,SK,CR,1959,NA,910,56,56,56,56,NA,1283,30,1283,12,NA,H,Y,7/11/05,1,Y,DEPARTMENT OF CONSERVATION AND RECREATION,U,0,U,0,0,0,0,USDA NRCS,USDA NRCS,USDA NRCS,NA,NA,NA,NA,NA,VA,VA,23-Jul-18,NA,Ben Cline (R),R,VA06,NA,0,Y,Y,Y,Y,NA
24195,FRD NO E-4,FALL RIVER WATERSHED DAM E-4,0,NA,KS02282,-96.3775705,38.00559279,"36,23S, 9E",GREENWOOD,EAST BRANCH FALL RIVER-TR,EUREKA,NA,FALL RIVER WJD NO 21,L,USDA NRCS,N,RE,X,U,C,1965,NA,1300,44,NA,NA,44,NA,1173,66,1173,11.55,2.559,S,Y,4/21/15,5,Y,KS DEPT. OF AGRICULTURE,U,40,X,129350,0,0,0,USDA NRCS,USDA NRCS,USDA NRCS,NA,NA,NA,NA,NA,KS,KS,2-Jul-18,NA,Ron Estes (R),R,KS04,NA,0,Y,Y,Y,Y,NA
87462,HOG LAKE DAM,DEEP LAKE DAM,NA,NA,WA00056,-117.809365,47.373744,S30 T22 R40E,SPOKANE,FISHTRAP CREEK,SPRAGUE,12,WA DFW,S,UNKNOWN,N,RE,HE,RS,R,1957,NA,330,21.8,22.4,21.8,22.4,4050,540,280,540,40,48,H,Y,8/10/15,5,Y,"WASHINGTON, DEPT OF ECOLOGY",NA,0,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,WA,WA,17-Jul-18,NA,Cathy McMorris Rodgers (R),R,WA05,NA,0,Y,Y,Y,Y,1-Jul-16
34785,LAKE LINCOLN DAM,LAKE LINCOLN DAM,NA,NA,MO10215,-90.92167,39.02028,NA,LINCOLN,DRY BRANCH SUGAR CREEK,TROY,4.2,MO. DNR PARKS,S,"WOODWARD,CLYDE,SHERARD & ASSOC.",N,RE,IEK,RK,R,1965,1988,535,69,69,NA,69,4776,1233,815,1233,48,980,H,Y,1/9/17,2,Y,DAM AND RESERVOIR SAFETY PROG,U,126,X,230000,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,MO,MO,25-May-18,NA,Blaine Luetkemeyer (R),R,MO03,NA,0,Y,Y,Y,Y,30-Mar-11
7928,JOHNSON POND,JOHNSON POND,NA,NA,CT00523,-72.107486,41.452401,MONTVILLE,NEW LONDON,STONY BROOK,MONTVILLE,0,THEODORE WISNIEWSKI REV LIVING TRUST,P,NA,N,MSRE,NA,NA,R,1850,NA,130,8,NA,NA,8,1845,55,55,55,5,8.6,U,NR,NA,0,Y,DEEP,NA,30,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,CT,CT,31-Oct-18,NA,Joe Courtney (D),D,CT02,NA,0,Y,Y,Y,Y,NA
44716,MS05706 LAKE DAM,NA,NA,NA,MS05706,-89.78638,34.58213,12,TATE,NA,NA,0,NA,P,NA,N,RE,X,NA,R,NA,NA,NA,16,NA,NA,16,NA,54,41,54,5,NA,U,NR,NA,0,Y,MS DEPARTMENT OF ENVIRONMENTAL QUALITY,U,0,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,MS,MS,3-Aug-18,NA,Trent Kelly (R),R,MS01,NA,0,Y,Y,Y,Y,NA
40361,SOUTHWOOD LODGE LAKE DAM,NA,NA,NA,MS00430,-91.26270192,31.46065034,80,ADAMS,TR- TURKEY CREEK,KEES RANCH 50,NA,HARVEY JONES,P,USDA NRCS,N,RE,X,SZ,R,1969,NA,NA,25,NA,NA,25,NA,720,0,720,NA,NA,L,NR,9/8/10,0,Y,MS DEPARTMENT OF ENVIRONMENTAL QUALITY,U,0,U,0,0,0,0,NA,USDA NRCS,NA,NA,NA,NA,NA,NA,MS,MS,3-Aug-18,NA,Michael Guest (R),R,MS03,NA,0,Y,Y,Y,Y,NA
46188,COPE,NA,NA,NA,MT00168,-108.6923,47.5227,S5 20N 24E,FERGUS,TR-CROOKED CREEK,NO TOWN,NA,GARY & RITA KLESSENS,P,USDA NRCS,N,RE,NA,NA,P,1960,NA,600,16,NA,16,16,850,56,24,56,NA,1.72,L,NR,NA,0,Y,DNRC,U,100,NA,0,0,0,0,USDA NRCS,USDA NRCS,NA,NA,NA,NA,NA,NA,MT,MT,17-Jul-18,NA,Greg Gianforte (R),R,MT00,NA,0,Y,Y,Y,Y,NA
72504,L. AESOPH,NA,NA,NA,SD00253,-99.345,44.841667,NA,HYDE,TR-JAMES,NONE,0,L. AESOPH,P,NA,N,RE,X,U,S,1953,NA,510,16,16,16,16,5400,160,70,160,NA,NA,L,NR,NA,0,Y,DENR,NA,0,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,SD,SD,18-Jun-18,NA,Dusty Johnson (R),R,SD00,NA,0,Y,Y,Y,Y,NA
50864,DEWITT GADDY DAM,NA,NA,NA,NC01827,-79.99472,34.83333,NA,ANSON,MILL CREEK-TR,NONE,NA,MARY CLAIRE WEAVER,P,USDA NRCS,N,RE,HEK,SZ,I,1982,NA,575,NA,22.2,19,22.2,142,57,46,57,6.5,0.148,L,N,3/8/13,0,N,NA,U,0,U,0,0,0,0,NA,USDA NRCS,USDA NRCS,NA,NA,NA,NA,NA,NC,NC,2-Aug-18,NA,Vacant,NA,NC09,NA,0,N,N,N,N,NA
24170,FRD A,WAKARUSA WATERSHED DAM 32,0,NA,KS02257,-95.11532969,38.83365568,"18,14S, 21E",DOUGLAS,LITTLE WAKARUSA CREEK,EUDORA,NA,WAKARUSA WJD NO 35,L,USDA NRCS,N,RE,X,U,C,1968,NA,1080,38,NA,NA,38,NA,179,66,179,NA,NA,S,N,NA,5,Y,KS DEPT. OF AGRICULTURE,U,60,X,32000,0,0,0,NA,USDA NRCS,NA,NA,NA,NA,NA,NA,KS,KS,2-Jul-18,NA,"Steven C. Watkins, Jr. (R)",R,KS02,NA,0,Y,Y,Y,Y,NA
26877,NA,KSNONAME 5009,NA,NA,KS05009,-101.876404,38.022763,"25,23S, 42W",HAMILTON,ARKANSAS RIVER-TR,SYRACUSE,NA,"WILLETT, LA",P,USDA NRCS,N,RE,X,U,P,1950,NA,780,16,NA,NA,16,NA,71,48,71,NA,NA,L,NR,NA,0,N,KS DEPT. OF AGRICULTURE,U,86,X,11800,0,0,0,NA,USDA NRCS,NA,NA,NA,NA,NA,NA,KS,KS,2-Jul-18,NA,Roger W. Marshall (R),R,KS01,NA,0,N,N,N,N,NA
30568,BROWNING POND DAM,NA,NA,NA,MA00695,-71.99710195,42.3077862,SPENCER,NA,SEVENMILE RIVER,NA,0,UNKNOWN,P,NA,NA,RE,X,U,R,NA,NA,503,8,NA,6,8,NA,264,176,264,89,4.7,S,NR,5/29/15,5,Y,DEPARTMENT OF CONSERVATION AND RECREATION,U,0,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,MA,MA,3-Jul-18,NA,James P. McGovern (D),D,MA02,NA,0,Y,Y,Y,Y,NA
74810,THISTLE DAM,NA,NA,NA,SD02611,-102.1592,43.8291,NA,PENNINGTON,NA,NA,0,DOI NPS,F,NA,N,RE,X,U,FP,NA,NA,NA,20,NA,NA,20,NA,60,0,60,NA,NA,L,NR,NA,0,N,NA,NA,0,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,SD,SD,18-Jun-18,NA,Dusty Johnson (R),R,SD00,NA,0,N,N,N,N,NA
1450,LAKELAND FARMS DAM NUMBER SEVENTEEN,NA,NA,NA,AL01646,-87.37833,32.61,NA,PERRY,NA,NA,0,E E DONOVAN,U,NA,N,RE,NA,NA,O,NA,NA,NA,NA,NA,NA,0,NA,NA,0,0,NA,NA,S,N,NA,0,N,NA,NA,0,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,AL,AL,30-Sep-15,NA,Terri A. Sewell (D),D,AL07,NA,0,N,N,N,N,NA
44316,MS05180 LAKE DAM,NA,NA,NA,MS05180,-89.86263,33.86588,15,GRENADA,NA,NA,0,NA,P,NA,N,RE,X,NA,R,NA,NA,NA,16,NA,NA,16,NA,63,53,63,6,NA,L,NR,NA,0,Y,MS DEPARTMENT OF ENVIRONMENTAL QUALITY,U,0,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,MS,MS,3-Aug-18,NA,Bennie G. Thompson (D),D,MS02,NA,0,Y,Y,Y,Y,NA
64738,MORRIS SA,NA,MORRIS S.A.,NA,OK12480,-97.39857272,34.93481917,3,MCCLAIN,TR-FINN CREEK,MAYSVILLE,8,JERRALD D & KAREN E MASTERSON,P,NA,NA,RE,HEZ,SZ,O,1950,NA,610,25,25,25,25,3210,93,44,93,NA,NA,L,NR,7/25/05,5,Y,OWRB,C,1,V: 1;,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,OK,OK,22-Jun-18,NA,Tom Cole (R),R,OK04,NA,0,Y,Y,Y,Y,NA
33224,LITTLE WIDEWATERS FLOODING DAM,NA,NA,NA,MI01414,-85.774911,44.036022,"S17, T19N, R12W",LAKE,TRIB TO LITTLE MANISTEE RIVER,OLD GRD TRAIL CAMPGR. USFS,3,MDNR WILDLIFE,S,NA,N,RE,NA,NA,O,1962,NA,250,7.6,7.6,5.6,7.6,14,210,80,210,43,0.66,L,NR,6/1/10,5,Y,MICHIGAN DEQ,U,2,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,MI,MI,4-Jun-18,NA,Bill Huizenga (R),R,MI02,NA,0,Y,Y,Y,Y,NA
68602,LAKE LOUISE,NA,NA,NA,PA00558,-75.90694444,41.38111111,FRANKLIN TOWNSHIP,LUZERNE,SUTTON CREEK,NA,0,LAKE LOUISE LAKE ASSOCIATION,P,NA,N,RE,XZ,UZ,R,1927,2007S,210,16,NA,NA,16,NA,705,193,705,56,2.69,H,Y,9/21/17,1,Y,PENNSYLVANIA DEPARTMENT OF ENVIRONMENTAL PROTECTION,NA,0,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,PA,PA,27-Jul-18,NA,Matt Cartwright (D),D,PA08,NA,0,Y,Y,Y,Y,1-Oct-06
84833,BUCK,NA,NA,NA,VA035002,-80.9386,36.8078,NA,CARROLL,NEW RIVER,AUSTINVILLE,4,APPALACHIAN POWER COMPANY,U,NA,N,CNPG,HCK,RK,HR,1912,1993S,1340,30,45,42.5,45,430000,708,708,708,68,1320,H,Y,4/4/17,1,N,NA,C,937,T6;,0,0,0,0,NA,NA,NA,FERC,FERC,NA,NA,NA,FERC,VA,5-Aug-18,NA,H. Morgan Griffith (R),R,VA09,NA,2,N,N,N,N,1-Dec-17
58400,LITTLE ONION DAM,NA,NA,NA,NV00006,-118.7555,41.6829,002 N43 E28 03C,HUMBOLDT,ALDER CREEK,NONE,0,ALDER CREEK RANCH LLC,F,SPROUT ENGINEERING,N,RE,HEK,SZ,IPR,NA,1959SH,710,31,35,26,35,4000,325,50,325,30,NA,S,Y,7/18/17,3,Y,NEVADA DWR,U,36,S1,18000,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NV,NV,5-Jul-18,NA,Mark E. Amodei (R),R,NV02,NA,0,Y,Y,Y,Y,31-Mar-17
75348,POWELL,NA,NA,NA,TN07508,-89.1375,35.597222,NA,HAYWOOD,TRIBMUD CREEK,MERCER,0,"POWELL, KIRBY",P,NA,N,RE,NA,NA,NA,1960,NA,640,NA,28.3,25.3,28.3,NA,202,155,202,15.3,0.09,L,NR,5/4/17,5,N,NA,U,0,X,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,TN,TN,31-Jul-18,NA,David Kustoff (R),R,TN08,NA,0,N,N,N,N,NA
9052,PC11 PAYNE CREEK MINE,NA,NA,NA,FL11066,-81.972603,27.675699,S24 T32S R23E,POLK,PAYNE CREEK,FORT MEADE,0,MOSAIC PHOSPHATES COMPANY,P,ARDAMAN & ASSOCIATES,N,RE,E,S,T,1998,NA,16280,40,43,35,43,60,14500,13650,14500,363,0.61,S,Y,NA,0,Y,FDEP,C,128,NA,3256000,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,FL,FL,3-Aug-18,NA,W. Gregory Steube (R),R,FL17,NA,0,Y,Y,Y,Y,NA
76562,LAKE PENNINGTON DAM,NA,NA,NA,TX00505,-95.185511,31.174252,NA,TRINITY,LOUISVILLE CREEK,NA,0,WV VIETTI,P,NO DATA FOR ORIGINAL DESIGNER,N,RE,X,U,O,1956,NA,1000,28,28,28,28,NA,550,265,550,30,NA,NA,NR,11/8/77,0,Y,TCEQ,N,0,X1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,TX,TX,23-Jul-18,NA,Kevin Brady (R),R,TX08,NA,0,Y,Y,Y,Y,NA
57104,PITTSFIELD SEWAGE LAGOON,NA,NA,NA,NH02884,-71.3223,43.2914,NA,MERRIMACK,NA,PITTSFIELD,0,TOWN OF PITTSFIELD,L,NA,N,RE,X,U,O,1997,NA,1800,18,0,0,18,0,38.8,28.14,38.8,5.33,0,S,Y,7/15/16,4,Y,NHDES DAM BUREAU,N,0,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NH,NH,20-Jun-18,NA,Ann M. Kuster (D),D,NH02,NA,0,Y,Y,Y,Y,15-Aug-16
